osm_id,lon,lat,building_tag,name,용도분류,판정단계,판정근거
w355849650,126.984090,37.569683,yes,,상업·업무,L4,내부 POI 1개: 흐엉관
w355849651,126.983260,37.569367,yes,,상업·업무,L4,내부 POI 1개: Bakery A GOONG
w355849652,126.983093,37.569295,yes,,미분류,-,OSM 내 용도 근거 없음
w355849653,126.983441,37.569427,yes,,상업·업무,L4,"내부 POI 2개: 노우즈종로, 그라벨르헤어 종로점"
w355849654,126.983635,37.569415,yes,,상업·업무,L4,"내부 POI 2개: 백세주마을, 카페종로시장"
w355849655,126.983693,37.569335,yes,,상업·업무,L4,내부 POI 1개: 종로족빨
w355849656,126.983863,37.569340,yes,,미분류,-,OSM 내 용도 근거 없음
w355849657,126.983879,37.569452,yes,,상업·업무,L4,내부 POI 1개: 구도로통닭
w355849658,126.983829,37.569251,yes,,미분류,-,OSM 내 용도 근거 없음
w355849659,126.983080,37.569179,yes,,상업·업무,L4,"내부 POI 2개: 광교약국, 평가옥"
w355849660,126.983238,37.569213,yes,,상업·업무,L4,내부 POI 1개: 토속정
w355849661,126.983470,37.569135,yes,교원투어빌딩,상업·업무,L3,명칭 '교원투어빌딩' 중 '빌딩'
w355849662,126.983798,37.569174,yes,,상업·업무,L4,"내부 POI 2개: 등촌샤브칼국수, 오봉집"
w355849663,126.983788,37.569040,yes,,상업·업무,L4,내부 POI 1개: 명가양꼬치
w355849664,126.984062,37.569458,yes,,상업·업무,L4,내부 POI 1개: 왕십리황소곱창
w355849665,126.984259,37.569466,yes,,상업·업무,L4,내부 POI 1개: 고메식당
w355849666,126.984064,37.569371,yes,,상업·업무,L4,내부 POI 1개: 숙달돼지
w355863759,126.984216,37.569272,yes,,상업·업무,L4,"내부 POI 2개: 이자카야나무, 무청감자탕"
w355863760,126.984099,37.569106,yes,,상업·업무,L4,"내부 POI 2개: 종로삼계탕, 더타코부스 서울종각역점"
w355863761,126.984042,37.568949,yes,,상업·업무,L4,내부 POI 1개: 영지인
w355863762,126.984262,37.569171,yes,,상업·업무,L4,"내부 POI 2개: 반쿤콴 비케이케이, 참치공방"
w355863763,126.984265,37.569009,yes,,상업·업무,L4,"내부 POI 3개: 아지트, 샐러디, 세븐일레븐"
w355874885,126.984511,37.569962,yes,,상업·업무,L4,내부 POI 1개: 스타벅스
w355874894,126.984632,37.569919,yes,,상업·업무,L4,내부 POI 1개: Mouse Potato
w355874899,126.984897,37.569925,yes,,상업·업무,L4,"내부 POI 4개: 롯데리아, 코다차야, 더 딤섬(the Dimsum)"
w355874903,126.985096,37.569913,yes,,상업·업무,L4,"내부 POI 2개: 우리동네 사진관, 더블유 메이크업"
w355874907,126.985250,37.569941,yes,,미분류,-,OSM 내 용도 근거 없음
w355874911,126.985346,37.569964,yes,,상업·업무,L4,"내부 POI 2개: 투썸플레이스, 일품양평해장국"
w355874915,126.985274,37.569831,yes,,미분류,-,OSM 내 용도 근거 없음
w355874919,126.985556,37.569962,yes,,상업·업무,L4,내부 POI 1개: Sulbing
w355874922,126.985509,37.569848,yes,,상업·업무,L4,"내부 POI 2개: 시사중국어학원 종로캠퍼스, 시사일본어학원 종로캠퍼스"
w355874924,126.984603,37.569670,yes,,상업·업무,L4,"내부 POI 3개: 인생횟집, 청킹마마, 슈가스컬"
w355874928,126.984808,37.569685,yes,,상업·업무,L4,"내부 POI 2개: 맛있는김치찜&순두부, 종로황소곱창"
w355874929,126.985183,37.569695,yes,,상업·업무,L4,내부 POI 1개: 생활맥주
w355874932,126.985352,37.569701,retail,,상업·업무,L1,building=retail
w355874934,126.984534,37.569490,yes,,상업·업무,L4,"내부 POI 2개: 브로스, 술패도니"
w355874937,126.984535,37.569321,yes,,상업·업무,L4,"내부 POI 2개: 위드비어, 해변마을"
w355874939,126.984716,37.569460,yes,,상업·업무,L4,내부 POI 1개: 방이옥
w355874942,126.984719,37.569295,yes,,상업·업무,L4,내부 POI 1개: 무쇠김치삼겹
w355874945,126.984904,37.569479,yes,,상업·업무,L4,내부 POI 1개: 술에꼬치다 구뻐
w355874948,126.984928,37.569324,yes,,상업·업무,L4,내부 POI 1개: 왕초바베큐
w355874952,126.985196,37.569396,yes,,상업·업무,L4,내부 POI 1개: 경성양꼬치
w355877592,126.985161,37.569277,yes,,미분류,-,OSM 내 용도 근거 없음
w355877593,126.985262,37.569283,yes,,상업·업무,L5,인접 POI 스냅 1개: 종로포차 (1m)
w355877594,126.985385,37.569399,yes,,상업·업무,L4,내부 POI 1개: 잔잔
w355877595,126.985631,37.569417,yes,,상업·업무,L4,"내부 POI 3개: 갓덴스시, 오사카부루스, 부엉이산장"
w355877596,126.985416,37.569283,yes,,상업·업무,L4,내부 POI 1개: 이가네양꼬치
w355877597,126.985594,37.569271,yes,,상업·업무,L4,내부 POI 1개: 금별맥주
