"# 대상지 중심: 종로구청 (37.5735, 126.9788)"
# 출처: OpenStreetMap / Overpass API · OSM 기준일 2026.09.14 · 조회일 2026.09.14
"# 값은 밀도(동/km²), 괄호 안은 건물 수(동)"
권역,면적(km2),미분류(동/km2),상업·업무(동/km2),주거(동/km2),공공·교육(동/km2),종교·문화(동/km2),공업(동/km2),기타(동/km2),미분류(동),상업·업무(동),주거(동),공공·교육(동),종교·문화(동),공업(동),기타(동)
0–1km,3.14,858.2,244.5,81.8,9.9,6.4,1.3,61.4,2696,768,257,31,20,4,193
1–2km,9.42,700.2,95.2,85.6,18.4,4.2,0.6,35.8,6599,897,807,173,40,6,337
2–3km,15.71,319.1,27.8,36.0,11.8,1.7,0.3,10.2,5013,437,566,186,26,4,161
3–4km,21.99,268.5,19.6,74.3,16.1,2.1,0.3,3.6,5905,432,1634,355,47,6,79
4–5km,28.27,273.5,31.3,86.4,10.8,1.0,0.2,1.7,7734,884,2443,304,29,5,48
