"ring","r0_km","r1_km","area_km2","buildings","density_per_km2","rel_to_peak_pct","change_vs_prev_pct","clark_pred","radius_km","center","center_lat","center_lon","source","endpoint","osm_base","fetched"
"0–1km","0","1","3.1416","3961","1260.8","100.0","","1387.6","3","종로구청","37.5735","126.979","Overpass API (OpenStreetMap) building","https://overpass.kumi.systems/api/interpreter","2026-07-15","2026-09-14"
"1–2km","1","2","9.4248","8814","935.2","74.2","-25.8","772.1","3","종로구청","37.5735","126.979","Overpass API (OpenStreetMap) building","https://overpass.kumi.systems/api/interpreter","2026-07-15","2026-09-14"
"2–3km","2","3","15.7080","6132","390.4","31.0","-58.3","429.6","3","종로구청","37.5735","126.979","Overpass API (OpenStreetMap) building","https://overpass.kumi.systems/api/interpreter","2026-07-15","2026-09-14"
