"번호","용도지역","구분","법_건폐율_상한","법_건폐율_출처","법_용적률_상한","법_용적률_출처","시행령_건폐율","시행령_건폐율_출처","시행령_용적률","시행령_용적률_출처","조례_건폐율_값","조례_건폐율_단위","조례_건폐율_출처","조례_용적률_값","조례_용적률_단위","조례_용적률_출처","조례_용적률_서울도심_값","조례_용적률_서울도심_출처","비고","상위법령_판본","조회일","조회경로","재현명령"
"11","전용공업지역","공업","70퍼센트 이하","법 제77조제1항제1호다목","400퍼센트 이하","법 제78조제1항제1호다목","70퍼센트 이하","시행령 제84조제1항제11호","150퍼센트 이상 300퍼센트 이하","시행령 제85조제1항제11호","60","퍼센트 이하","서울특별시 도시계획 조례 제44조제11호 · 시행 2026-07-13","200","퍼센트 이하","서울특별시 도시계획 조례 제48조제11호 · 시행 2026-07-13","","","","법 법령ID 009294 · MST 284013 · 시행 2026-07-01 / 시행령 법령ID 009419 · MST 288857 · 시행 2026-09-18","2026-09-21","law.go.kr OPEN API (법령·자치법규 lawSearch → lawService)","powershell -ExecutionPolicy Bypass -File src\ordinance.ps1"
"12","일반공업지역","공업","70퍼센트 이하","법 제77조제1항제1호다목","400퍼센트 이하","법 제78조제1항제1호다목","70퍼센트이하","시행령 제84조제1항제12호","150퍼센트 이상 350퍼센트 이하","시행령 제85조제1항제12호","60","퍼센트 이하","서울특별시 도시계획 조례 제44조제12호 · 시행 2026-07-13","200","퍼센트 이하","서울특별시 도시계획 조례 제48조제12호 · 시행 2026-07-13","","","","법 법령ID 009294 · MST 284013 · 시행 2026-07-01 / 시행령 법령ID 009419 · MST 288857 · 시행 2026-09-18","2026-09-21","law.go.kr OPEN API (법령·자치법규 lawSearch → lawService)","powershell -ExecutionPolicy Bypass -File src\ordinance.ps1"
"13","준공업지역","공업","70퍼센트 이하","법 제77조제1항제1호다목","400퍼센트 이하","법 제78조제1항제1호다목","70퍼센트 이하","시행령 제84조제1항제13호","150퍼센트 이상 400퍼센트 이하","시행령 제85조제1항제13호","60","퍼센트 이하","서울특별시 도시계획 조례 제44조제13호 · 시행 2026-07-13","400","퍼센트 이하","서울특별시 도시계획 조례 제48조제13호 · 시행 2026-07-13","","","","법 법령ID 009294 · MST 284013 · 시행 2026-07-01 / 시행령 법령ID 009419 · MST 288857 · 시행 2026-09-18","2026-09-21","law.go.kr OPEN API (법령·자치법규 lawSearch → lawService)","powershell -ExecutionPolicy Bypass -File src\ordinance.ps1"
"14","보전녹지지역","녹지","20퍼센트 이하","법 제77조제1항제1호라목","100퍼센트 이하","법 제78조제1항제1호라목","20퍼센트 이하","시행령 제84조제1항제14호","50퍼센트 이상 80퍼센트 이하","시행령 제85조제1항제14호","20","퍼센트 이하","서울특별시 도시계획 조례 제44조제14호 · 시행 2026-07-13","50","퍼센트 이하","서울특별시 도시계획 조례 제48조제14호 · 시행 2026-07-13","","","","법 법령ID 009294 · MST 284013 · 시행 2026-07-01 / 시행령 법령ID 009419 · MST 288857 · 시행 2026-09-18","2026-09-21","law.go.kr OPEN API (법령·자치법규 lawSearch → lawService)","powershell -ExecutionPolicy Bypass -File src\ordinance.ps1"
"15","생산녹지지역","녹지","20퍼센트 이하","법 제77조제1항제1호라목","100퍼센트 이하","법 제78조제1항제1호라목","20퍼센트 이하","시행령 제84조제1항제15호","50퍼센트 이상 100퍼센트 이하","시행령 제85조제1항제15호","20","퍼센트 이하","서울특별시 도시계획 조례 제44조제15호 · 시행 2026-07-13","50","퍼센트 이하","서울특별시 도시계획 조례 제48조제15호 · 시행 2026-07-13","","","","법 법령ID 009294 · MST 284013 · 시행 2026-07-01 / 시행령 법령ID 009419 · MST 288857 · 시행 2026-09-18","2026-09-21","law.go.kr OPEN API (법령·자치법규 lawSearch → lawService)","powershell -ExecutionPolicy Bypass -File src\ordinance.ps1"
"16","자연녹지지역","녹지","20퍼센트 이하","법 제77조제1항제1호라목","100퍼센트 이하","법 제78조제1항제1호라목","20퍼센트 이하","시행령 제84조제1항제16호","50퍼센트 이상 100퍼센트 이하","시행령 제85조제1항제16호","20","퍼센트 이하","서울특별시 도시계획 조례 제44조제16호 · 시행 2026-07-13","50","퍼센트 이하","서울특별시 도시계획 조례 제48조제16호 · 시행 2026-07-13","","","","법 법령ID 009294 · MST 284013 · 시행 2026-07-01 / 시행령 법령ID 009419 · MST 288857 · 시행 2026-09-18","2026-09-21","law.go.kr OPEN API (법령·자치법규 lawSearch → lawService)","powershell -ExecutionPolicy Bypass -File src\ordinance.ps1"
"17","보전관리지역","관리","20퍼센트 이하","법 제77조제1항제2호가목","80퍼센트 이하","법 제78조제1항제2호가목","20퍼센트 이하","시행령 제84조제1항제17호","50퍼센트 이상 80퍼센트 이하","시행령 제85조제1항제17호","","","","","","","","","조례에 규정 없음 — 서울은 시 전역이 도시지역이라 관리·농림·자연환경보전지역이 없음 (상위 기준만 적음)","법 법령ID 009294 · MST 284013 · 시행 2026-07-01 / 시행령 법령ID 009419 · MST 288857 · 시행 2026-09-18","2026-09-21","law.go.kr OPEN API (법령·자치법규 lawSearch → lawService)","powershell -ExecutionPolicy Bypass -File src\ordinance.ps1"
"18","생산관리지역","관리","20퍼센트 이하","법 제77조제1항제2호나목","80퍼센트 이하","법 제78조제1항제2호나목","20퍼센트 이하","시행령 제84조제1항제18호","50퍼센트 이상 80퍼센트 이하","시행령 제85조제1항제18호","","","","","","","","","조례에 규정 없음 — 서울은 시 전역이 도시지역이라 관리·농림·자연환경보전지역이 없음 (상위 기준만 적음)","법 법령ID 009294 · MST 284013 · 시행 2026-07-01 / 시행령 법령ID 009419 · MST 288857 · 시행 2026-09-18","2026-09-21","law.go.kr OPEN API (법령·자치법규 lawSearch → lawService)","powershell -ExecutionPolicy Bypass -File src\ordinance.ps1"
"19","계획관리지역","관리","40퍼센트 이하","법 제77조제1항제2호다목","100퍼센트 이하","법 제78조제1항제2호다목","40퍼센트 이하","시행령 제84조제1항제19호","50퍼센트 이상 100퍼센트 이하","시행령 제85조제1항제19호","","","","","","","","","조례에 규정 없음 — 서울은 시 전역이 도시지역이라 관리·농림·자연환경보전지역이 없음 (상위 기준만 적음)","법 법령ID 009294 · MST 284013 · 시행 2026-07-01 / 시행령 법령ID 009419 · MST 288857 · 시행 2026-09-18","2026-09-21","law.go.kr OPEN API (법령·자치법규 lawSearch → lawService)","powershell -ExecutionPolicy Bypass -File src\ordinance.ps1"
"20","농림지역","농림","20퍼센트 이하","법 제77조제1항제3호","80퍼센트 이하","법 제78조제1항제3호","20퍼센트 이하","시행령 제84조제1항제20호","50퍼센트 이상 80퍼센트 이하","시행령 제85조제1항제20호","","","","","","","","","조례에 규정 없음 — 서울은 시 전역이 도시지역이라 관리·농림·자연환경보전지역이 없음 (상위 기준만 적음)","법 법령ID 009294 · MST 284013 · 시행 2026-07-01 / 시행령 법령ID 009419 · MST 288857 · 시행 2026-09-18","2026-09-21","law.go.kr OPEN API (법령·자치법규 lawSearch → lawService)","powershell -ExecutionPolicy Bypass -File src\ordinance.ps1"
"21","자연환경보전지역","자연환경보전","20퍼센트 이하","법 제77조제1항제4호","80퍼센트 이하","법 제78조제1항제4호","20퍼센트 이하","시행령 제84조제1항제21호","50퍼센트 이상 80퍼센트 이하","시행령 제85조제1항제21호","","","","","","","","","조례에 규정 없음 — 서울은 시 전역이 도시지역이라 관리·농림·자연환경보전지역이 없음 (상위 기준만 적음)","법 법령ID 009294 · MST 284013 · 시행 2026-07-01 / 시행령 법령ID 009419 · MST 288857 · 시행 2026-09-18","2026-09-21","law.go.kr OPEN API (법령·자치법규 lawSearch → lawService)","powershell -ExecutionPolicy Bypass -File src\ordinance.ps1"
